Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish,,
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater,,
Fishes,Ictaluridae,Ameiurus melas,,Black Bullhead,Native,Freshwater,,
Fishes,Sciaenidae,Aplodinotus grunniens,,Freshwater Drum,Native,Freshwater,,
Fishes,Cichlidae,Archocentrus nigrofasciatus,,Convict Cichlid,Exotic,Freshwater,,
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater,,
Fishes,Catostomidae,Carpiodes carpio,,River Carpsucker,Native,Freshwater,,
Fishes,Catostomidae,Catostomus ardens,,Utah Sucker,Native,Freshwater,,
Fishes,Catostomidae,Catostomus catostomus,,Longnose Sucker,Native,Freshwater,,
Fishes,Catostomidae,Catostomus commersonii,,White Sucker,Native,Freshwater,,
Fishes,Characidae,Colossoma or Piaractus sp.,,unidentified pacu,Exotic,Freshwater,,
Fishes,Cottidae,Cottus bairdii,,Mottled Sculpin,Native,Freshwater,,
Fishes,Cottidae,Cottus extensus,,Bear Lake Sculpin,Native,Freshwater,,
Fishes,Cyprinidae,Couesius plumbeus,,Lake Chub,Native,Freshwater,,
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater,,
Fishes,Cyprinidae,Cyprinella lutrensis,,Red Shiner,Native,Freshwater,,
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater,,
Fishes,Clupeidae,Dorosoma cepedianum,,Gizzard Shad,Native,Freshwater-Marine,,
Fishes,Esocidae,Esox lucius,,Northern Pike,Native,Freshwater,,
Fishes,Esocidae,Esox lucius x E. masquinongy,,tiger muskellunge,Native Hybrid,Freshwater,,
Fishes,Fundulidae,Fundulus sciadicus,,Plains Topminnow,Native,Freshwater,,
Fishes,Fundulidae,Fundulus zebrinus,,Plains Killifish,Native,Freshwater,,
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater,,
Fishes,Cyprinidae,Gila atraria,,Utah Chub,Native,Freshwater,,
Fishes,Cyprinidae,Gila robusta,,roundtail chub,Native,Freshwater,,
Fishes,Hiodontidae,Hiodon alosoides,,Goldeye,Native,Freshwater,,
Fishes,Cyprinidae,Hybognathus placitus,,Plains Minnow,Native,Freshwater,,
Fishes,Ictaluridae,Ictalurus punctatus,,Channel Catfish,Native,Freshwater,,
Fishes,Cyprinidae,Lepidomeda copei,,Northern Leatherside Chub,Native,Freshwater,,
Fishes,Centrarchidae,Lepomis cyanellus,,Green Sunfish,Native,Freshwater,,
Fishes,Centrarchidae,Lepomis gibbosus,,Pumpkinseed,Native,Freshwater,,
Fishes,Centrarchidae,Lepomis macrochirus,,Bluegill,Native,Freshwater,,
Fishes,Gadidae,Lota lota,,Burbot,Native,Freshwater,,
