Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish,
Fishes,Ictaluridae,Ameiurus nebulosus,,Brown Bullhead,Native,Freshwater,
Fishes,Cichlidae,Amphilophus citrinellus,,Midas Cichlid,Exotic,Freshwater,
Fishes,Cichlidae,Amphilophus labiatus,,red devil,Exotic,Freshwater,
Fishes,Engraulidae,Anchoa compressa,,Deepbody Anchovy,Exotic,Marine,
Fishes,Loricariidae,Ancistrus cf. temminckii,,,Exotic,Freshwater-Brackish,
Fishes,Anguillidae,Anguilla marmorata,,marbled eel,Exotic,Freshwater-Marine,
Fishes,Aplocheilidae,Aplocheilus lineatus,,striped panchax,Exotic,Freshwater,
Fishes,Pomacanthidae,Apolemichthys xanthopunctatus,,goldspotted angelfish,Exotic,Marine,
Fishes,Cichlidae,Archocentrus nigrofasciatus,,Convict Cichlid,Exotic,Freshwater,
Fishes,Cichlidae,Astronotus ocellatus,,Oscar,Exotic,Freshwater,
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater,
Fishes,Pomacanthidae,Centropyge flavissima,,lemonpeel angel,Exotic,Marine,
Fishes,Pomacanthidae,Centropyge loricula,,flaming angelfish,Native,Marine,
Fishes,Serranidae,Cephalopholis argus,,peacock hind,Exotic,Marine,
Fishes,Serranidae,Cephalopholis urodeta,,darkfin hind,Exotic,Marine,
Fishes,Pomacanthidae,Chaetodontoplus mesoleucus,,vermiculated angelfish,Exotic,Marine,
Fishes,Channidae,Channa maculata,,Blotched Snakehead,Exotic,Freshwater,
Fishes,Serranidae,Chromileptes altivelis,,panther grouper,Exotic,Marine,
Fishes,Cichlidae,Cichla ocellaris,,Butterfly Peacock Bass,Exotic,Freshwater,
Fishes,Cichlidae,Cichlasoma sp.,,cichlid,Exotic,Freshwater,
Fishes,Cichlidae,Cichlasoma spilurum,,blue-eyed cichlid,Exotic,Freshwater,
Fishes,Cirrhitidae,Cirrhitichthys falco,,dwarf hawkfish,Exotic,Marine,
Fishes,Cirrhitidae,Cirrhitichthys oxycephalus,,Coral Hawkfish,Exotic,Marine,
Fishes,Clariidae,Clarias fuscus,,whitespotted clarias,Exotic,Freshwater,
Fishes,Characidae,Colossoma macropomum,,tambaqui,Exotic,Freshwater,
Fishes,Callichthyidae,Corydoras aeneus,,green corydoras,Exotic,Freshwater,
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater,
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater,
Fishes,Cyprinidae,Dawkinsia filamentosa,,blackspot barb,Exotic,Freshwater,
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine,
Fishes,Serranidae,Epinephelus fasciatus,,blacktip grouper,Exotic,Marine,
Fishes,Serranidae,Epinephelus hexagonatus,,starspotted grouper,Exotic,Marine,
