Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish,
Fishes,Clupeidae,Alosa aestivalis,,Blueback Herring,Native,Freshwater-Marine,
Fishes,Clupeidae,Alosa chrysochloris,,Skipjack Herring,Native,Freshwater-Marine,
Fishes,Clupeidae,Alosa pseudoharengus,,Alewife,Native,Freshwater-Marine,
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine,
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater,
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater,
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater,
Fishes,Catostomidae,Carpiodes carpio,,River Carpsucker,Native,Freshwater,
Fishes,Catostomidae,Catostomus commersonii,,White Sucker,Native,Freshwater,
Fishes,Channidae,Channa micropeltes,,Giant Snakehead,Exotic,Freshwater,
Fishes,Cyprinidae,Chrosomus oreas,,Mountain Redbelly Dace,Native,Freshwater,
Fishes,Salmonidae,Coregonus artedi,,Cisco,Native,Freshwater,
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater,
Fishes,Cyprinidae,Ctenopharyngodon idella,triploid,Grass Carp (triploid),Exotic,Freshwater,
Fishes,Gasterosteidae,Culaea inconstans,,Brook Stickleback,Native,Freshwater,
Fishes,Cyprinidae,Cyprinella venusta,,Blacktail Shiner,Native,Freshwater,
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater,
Fishes,Clupeidae,Dorosoma cepedianum,,Gizzard Shad,Native,Freshwater-Marine,
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine,
Fishes,Esocidae,Esox lucius,,Northern Pike,Native,Freshwater,
Fishes,Esocidae,Esox masquinongy,,Muskellunge,Native,Freshwater,
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater,
Fishes,Poeciliidae,Gambusia holbrooki,,Eastern Mosquitofish,Native,Freshwater,
Fishes,Cyprinidae,Hybognathus hankinsoni,,Brassy Minnow,Native,Freshwater,
Fishes,Catostomidae,Hypentelium etowanum,,Alabama Hog Sucker,Native,Freshwater,
Fishes,Catostomidae,Hypentelium nigricans,,Northern Hog Sucker,Native,Freshwater,
Fishes,Cyprinidae,Hypophthalmichthys molitrix,,Silver Carp,Exotic,Freshwater,
Fishes,Cyprinidae,Hypophthalmichthys nobilis,,Bighead Carp,Exotic,Freshwater,
Fishes,Ictaluridae,Ictalurus furcatus,,Blue Catfish,Native,Freshwater,
Fishes,Lepisosteidae,Lepisosteus oculatus,,Spotted Gar,Native,Freshwater,
Fishes,Centrarchidae,Lepomis auritus,,Redbreast Sunfish,Native,Freshwater,
Fishes,Centrarchidae,Lepomis cyanellus,,Green Sunfish,Native,Freshwater,
Fishes,Centrarchidae,Lepomis gibbosus,,Pumpkinseed,Native,Freshwater,
Fishes,Centrarchidae,Lepomis gulosus,,Warmouth,Native,Freshwater,
Fishes,Centrarchidae,Lepomis miniatus,,Redspotted Sunfish,Native,Freshwater,
Fishes,Cyprinidae,Leuciscus idus,,Ide,Exotic,Freshwater,
Fishes,Cyprinidae,Luxilus coccogenis,,Warpaint Shiner,Native,Freshwater,
