Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish,
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine,
Fishes,Centrarchidae,Ambloplites constellatus,,Ozark Bass,Native,Freshwater,
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater,
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater,
Fishes,Ictaluridae,Ameiurus nebulosus,,Brown Bullhead,Native,Freshwater,
Fishes,Cichlidae,Astronotus ocellatus,,Oscar,Exotic,Freshwater,
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater,
Fishes,Catostomidae,Carpiodes cyprinus,,Quillback,Native,Freshwater,
Fishes,Catostomidae,Catostomus commersonii,,White Sucker,Native,Freshwater,
Fishes,Channidae,Channa argus,,Northern Snakehead,Exotic,Freshwater,
Fishes,Characidae,Colossoma or Piaractus sp.,,unidentified pacu,Exotic,Freshwater,
Fishes,Cottidae,Cottus immaculatus,,Knobfin Sculpin,Native,Freshwater,
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater,
Fishes,Cyprinidae,Cyprinella lutrensis,,Red Shiner,Native,Freshwater,
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater,
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine,
Fishes,Esocidae,Esox lucius,,Northern Pike,Native,Freshwater,
Fishes,Esocidae,Esox lucius x E. masquinongy,,tiger muskellunge,Native Hybrid,Freshwater,
Fishes,Esocidae,Esox masquinongy,,Muskellunge,Native,Freshwater,
Fishes,Esocidae,Esox niger,,Chain Pickerel,Native,Freshwater,
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater,
Fishes,Cyprinidae,Hypophthalmichthys molitrix,,Silver Carp,Exotic,Freshwater,
Fishes,Cyprinidae,Hypophthalmichthys nobilis,,Bighead Carp,Exotic,Freshwater,
Fishes,Centrarchidae,Lepomis auritus,,Redbreast Sunfish,Native,Freshwater,
Fishes,Centrarchidae,Lepomis gibbosus,,Pumpkinseed,Native,Freshwater,
Fishes,Centrarchidae,Lepomis marginatus,,Dollar Sunfish,Native,Freshwater,
Fishes,Centrarchidae,Lepomis microlophus,,Redear Sunfish,Native,Freshwater,
Fishes,Cyprinidae,Leuciscus idus,,Ide,Exotic,Freshwater,
Fishes,Atherinopsidae,Menidia beryllina,,Inland Silverside,Native,Freshwater-Marine,
Fishes,Centrarchidae,Micropterus coosae,,Redeye Bass (sensu lato),Native,Freshwater,
Fishes,Centrarchidae,Micropterus dolomieu,,Smallmouth Bass,Native,Freshwater,
Fishes,Moronidae,Morone americana,,White Perch,Native,Freshwater,
Fishes,Moronidae,Morone chrysops,,White Bass,Native,Freshwater-Marine,
Fishes,Moronidae,Morone chrysops x M. saxatilis,,wiper,Native Hybrid,Freshwater-Marine,
Fishes,Moronidae,Morone saxatilis,,Striped Bass,Native,Freshwater-Marine,
Fishes,Cyprinidae,Mylopharyngodon piceus,,Black Carp,Exotic,Freshwater,
Fishes,Cyprinidae,Mylopharyngodon piceus,diploid,Black Carp (diploid),Exotic,Freshwater,
Fishes,Cyprinidae,Notemigonus crysoleucas,,Golden Shiner,Native,Freshwater,
Fishes,Cyprinidae,Notropis girardi,,Arkansas River Shiner,Native,Freshwater,
Fishes,Cyprinidae,Notropis ozarcanus,,Ozark Shiner,Native,Freshwater,
Fishes,Cyprinidae,Notropis potteri,,Chub Shiner,Native,Freshwater,
Fishes,Ictaluridae,Noturus exilis,,Slender Madtom,Native,Freshwater,
Fishes,Salmonidae,Oncorhynchus clarkii,,Cutthroat Trout,Native,Freshwater,
Fishes,Salmonidae,Oncorhynchus mykiss,,Rainbow Trout,Native,Freshwater-Marine,
Fishes,Salmonidae,Oncorhynchus nerka,,Sockeye Salmon,Native,Freshwater-Marine,
Fishes,Cichlidae,Oreochromis aureus,,Blue Tilapia,Exotic,Freshwater,
Fishes,Cichlidae,Oreochromis niloticus,,Nile Tilapia,Exotic,Freshwater,
Fishes,Osmeridae,Osmerus mordax,,Rainbow Smelt,Native,Freshwater-Marine,
Fishes,Percidae,Perca flavescens,,Yellow Perch,Native,Freshwater,
Fishes,Characidae,Piaractus brachypomus,,pirapatinga, red-bellied pacu,Exotic,Freshwater
Fishes,Cyprinidae,Pimephales promelas,,Fathead Minnow,Native,Freshwater,
Fishes,Ictaluridae,Pylodictis olivaris,,Flathead Catfish,Native,Freshwater,
Fishes,Salmonidae,Salmo trutta,,Brown Trout,Exotic,Freshwater,
Fishes,Salmonidae,Salmo trutta x Salvelinus fontinalis,,tiger trout,Exotic Hybrid,Freshwater,
Fishes,Salmonidae,Salvelinus fontinalis,,Brook Trout,Native,Freshwater,
Fishes,Salmonidae,Salvelinus namaycush,,Lake Trout,Native,Freshwater,
Fishes,Percidae,Sander canadensis,,Sauger,Native,Freshwater,
Fishes,Percidae,Sander canadensis x vitreus,,Saugeye,Native Hybrid,Freshwater,
Fishes,Percidae,Sander vitreus,,Walleye,Native,Freshwater,
Fishes,Cyprinidae,Scardinius erythrophthalmus,,Rudd,Exotic,Freshwater,
Fishes,Cichlidae,Tilapia zillii,,Redbelly Tilapia,Exotic,Freshwater,
Fishes,Cyprinidae,Tinca tinca,,Tench,Exotic,Freshwater,
